City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
243,Aden,GA,82.4,broken clouds,12.7794,45.0367,Sama Emirate Hotel
244,Taoudenni,GA,89.8,light rain,22.6783,-3.9836,
250,Ushtobe,GA,76.75,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
255,Candolim,GA,79.32,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
265,Bela,GA,83.64,overcast clouds,25.9333,81.9833,Raj Bhawan
266,Lewiston,GA,79.9,few clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
267,Dingle,GA,77.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
271,Pandan,GA,81.27,few clouds,14.0453,124.1694,Bonifacio Lodge
276,Mitchell,GA,89.58,clear sky,43.7094,-98.0298,Kelly Inn & Suites
280,Tautira,GA,75.16,light rain,-17.7333,-149.15,Pension Oaoa
286,Altamira,GA,79.39,overcast clouds,-3.2033,-52.2064,Requinte Hotel
295,Faanui,GA,77.47,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
297,Noumea,GA,78.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
300,Carutapera,GA,76.6,broken clouds,-1.195,-46.02,Lidera
302,Lompoc,GA,89.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
303,Tirano,GA,78.4,clear sky,46.2154,10.1679,Hotel Corona Tirano
304,Matoury,GA,83.01,few clouds,4.8483,-52.3317,Hôtel La Marmotte
305,Qui Nhon,GA,76.33,overcast clouds,13.7667,109.2333,Seagull Hotel
306,Palmer,GA,88.41,few clouds,42.1584,-72.3287,Wedgewood Motel
307,Bang Saphan,GA,75.07,light rain,11.2126,99.5117,Ladawan Boutique Hotel
308,Savannah Bight,GA,82.78,few clouds,16.45,-85.85,Villa on Dunbar Rock
309,Zhob,GA,76.75,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
318,Abnub,GA,85.33,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
319,Pangoa,GA,79.34,few clouds,-12.1167,-73.0,
320,Kieta,GA,81.27,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
321,Jorhat,GA,78.24,overcast clouds,26.75,94.2167,Hotel Jora Palace
331,Ewa Beach,GA,84.15,broken clouds,21.3156,-158.0072,Base Lodging
334,Naze,GA,81.27,scattered clouds,28.3667,129.4833,Shishime Hotel
335,Locri,GA,77.32,clear sky,38.2414,16.2623,Grand Hotel President
340,Marzuq,GA,77.49,clear sky,14.4,46.4667,
342,La Primavera,GA,77.4,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
343,Mapiripan,GA,76.28,broken clouds,2.8892,-72.1256,Monserrate
345,Chabahar,GA,83.14,overcast clouds,25.2919,60.643,هتل گدروشیا
346,Ludvika,GA,75.0,heavy intensity rain,60.1496,15.1878,Ludvika Stadshotell
347,Fare,GA,76.78,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
348,Chakia,GA,81.0,overcast clouds,26.4167,85.05,Adarsh home 🏠
349,Atikokan,GA,76.17,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
352,Casablanca,GA,80.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
354,Puerto El Triunfo,GA,85.44,broken clouds,13.2833,-88.55,Hotel Jardin
355,Urubicha,GA,77.92,clear sky,-15.3833,-62.95,
358,Korla,GA,75.2,clear sky,41.7597,86.1469,Gulisitan Hotel
