City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Kirakira,GA,-10.4544,161.9205,82.17,77,97,2.84,overcast clouds
80,Panguma,GA,8.1833,-11.1333,70,99,85,2.75,overcast clouds
81,Inirida,GA,3.8653,-67.9239,77.22,96,94,2.21,overcast clouds
82,Casper,GA,42.8666,-106.3131,93.81,15,1,5.01,clear sky
83,Luderitz,GA,-26.6481,15.1594,64.18,48,0,5.7,clear sky
84,Jeremie,GA,18.65,-74.1167,84.97,67,60,5.08,broken clouds
85,Eureka,GA,40.8021,-124.1637,67.19,79,68,8.01,broken clouds
86,Labuhan,GA,-6.8844,112.2051,75.2,84,93,8.88,overcast clouds
87,Falmouth,GA,50.1544,-5.0711,59.58,72,0,8.05,clear sky
88,Airai,GA,-8.9266,125.4092,54.41,92,97,4.07,overcast clouds
89,Poum,GA,-20.2333,164.0167,77.32,85,99,25.61,overcast clouds
90,Barra,GA,-11.0894,-43.1417,76.24,43,23,4.79,few clouds
91,Hithadhoo,GA,-0.6,73.0833,80.51,73,100,8.12,moderate rain
92,Kavieng,GA,-2.5744,150.7967,81.57,79,100,11.18,light rain
93,Lengshuitan,GA,26.4111,111.5956,77.54,88,22,5.93,few clouds
94,Botwood,GA,49.1499,-55.3482,74.89,58,49,7.49,scattered clouds
95,Tasiilaq,GA,65.6145,-37.6368,41.16,78,80,0.98,broken clouds
96,Sanbu,GA,33.4594,119.1453,75.06,87,0,2.17,clear sky
97,Khatanga,GA,71.9667,102.5,51.26,83,100,14.41,overcast clouds
98,Chokurdakh,GA,70.6333,147.9167,51.13,38,0,8.68,clear sky
99,Aktau,GA,43.65,51.2,77.58,53,68,21.59,broken clouds
100,Aykhal,GA,66,111.5,54.82,85,100,1.66,overcast clouds
101,Orlik,GA,52.5178,99.825,47.71,86,89,1.01,overcast clouds
102,Castro,GA,-24.7911,-50.0119,59.88,84,46,2.71,scattered clouds
103,Cestas,GA,44.7435,-0.6791,74.86,68,0,6.91,clear sky
104,Cape Town,GA,-33.9258,18.4232,53.91,84,100,3,overcast clouds
105,Walvis Bay,GA,-22.9575,14.5053,61.7,52,0,3.13,clear sky
106,Charters Towers,GA,-20.1,146.2667,57.02,82,2,6.85,clear sky
107,Pirovskoye,GA,57.6267,92.2658,55.65,96,100,6.49,overcast clouds
108,Georgetown,GA,5.4112,100.3354,80.89,91,20,1.14,few clouds
109,Bengkulu,GA,-3.8004,102.2655,74.79,90,85,4.52,overcast clouds
110,Amazar,GA,53.858,120.875,67.03,87,60,2.33,broken clouds
111,Codrington,GA,-38.2667,141.9667,46.51,86,80,11.05,broken clouds
112,Ostrovnoy,GA,68.0531,39.5131,54.25,85,95,5.03,overcast clouds
113,Pacific Grove,GA,36.6177,-121.9166,81.55,81,0,10.36,clear sky
114,Lata,GA,40.1629,-8.3327,59.54,95,37,2.08,scattered clouds
115,Zaoyang,GA,32.1272,112.7542,79.21,92,93,11.03,overcast clouds
116,Hofn,GA,64.2539,-15.2082,50.61,89,35,1.92,scattered clouds
117,Cabo San Lucas,GA,22.8909,-109.9124,99.18,38,0,6.91,clear sky
118,Challans,GA,46.8436,-1.8749,66.4,85,8,8.9,clear sky
119,Iqaluit,GA,63.7506,-68.5145,42.53,100,40,3.44,fog
120,Norman Wells,GA,65.282,-126.8329,76.14,43,28,5.79,scattered clouds
121,Margate,GA,51.3813,1.3862,64.9,78,16,5.01,few clouds
122,Gunzenhausen,GA,49.1,10.75,68.49,69,4,2.91,clear sky
123,San Luis,GA,-33.295,-66.3356,58.39,32,0,10.04,clear sky
124,Kodiak,GA,57.79,-152.4072,54.91,82,100,6.91,overcast clouds
125,Mayo,GA,38.8876,-76.5119,94.35,69,75,12.66,light rain
126,Puerto Escondido,GA,15.85,-97.0667,85.15,75,99,4.88,overcast clouds
127,Imbituba,GA,-28.24,-48.6703,69.1,87,14,10.16,few clouds
128,Qaanaaq,GA,77.484,-69.3632,43.25,90,100,9.55,light rain
129,Namatanai,GA,-3.6667,152.4333,81.59,74,81,5.77,broken clouds
130,Laguna,GA,38.421,-121.4238,102.31,25,0,9.22,clear sky
131,Salalah,GA,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
